dist,payload_size,avg_delay,delay_std,avg_thrp,thrp_std,nr_packets
0,1,0.216658,0.004746,4.617775,0.101386,92
0,100,1.021826,0.004709,97.866025,0.45112,19
0,180,1.667944,0.00589,107.918541,0.382515,12
5,1,0.215762,0.004588,4.636811,0.098781,93
5,100,1.021509,0.00441,97.896085,0.423773,20
5,180,1.667167,0.006586,107.969144,0.429281,12
10,1,0.216809,0.005517,4.615336,0.11848,93
10,100,1.021369,0.004713,97.909813,0.45054,19
10,180,1.67493,0.00842,107.469624,0.541298,12
15,1,0.217242,0.004741,4.60536,0.101698,92
15,100,1.023426,0.005295,97.713456,0.507347,19
15,180,1.671662,0.009927,107.680766,0.645681,12
20,1,0.217606,0.004456,4.597366,0.094354,91
20,100,1.023893,0.00787,97.671973,0.759448,20
20,180,1.675033,0.008578,107.463164,0.553929,12
25,1,0.2167,0.005048,4.617141,0.107218,92
25,100,1.024358,0.00541,97.624647,0.515258,19
25,180,1.673877,0.008563,107.537322,0.551745,12
30,1,0.216614,0.004678,4.618634,0.10012,92
30,100,1.024147,0.004974,97.644435,0.475786,19
30,180,1.673876,0.010438,107.538711,0.679088,12
35,1,0.217062,0.004822,4.609242,0.102636,92
35,100,1.020723,0.005174,97.972144,0.496252,19
35,180,1.670189,0.008505,107.774777,0.551327,12
40,1,0.21686,0.005571,4.614287,0.118826,93
40,100,1.023881,0.005818,97.6706,0.556176,19
40,180,1.674267,0.007494,107.511692,0.482965,12
45,1,0.215891,0.005306,4.634727,0.113367,92
45,100,1.023461,0.005326,97.710155,0.50757,19
45,180,1.673142,0.009232,107.585038,0.598212,12
50,1,0.216749,0.00519,4.616254,0.110794,92
50,100,1.02434,0.004176,97.625396,0.398415,19
50,180,1.672738,0.008839,107.610791,0.573516,12
55,1,0.331735,0.213243,3.715474,1.274769,60
55,100,1.617412,1.01611,78.11436,29.73795,13
55,180,3.05856,2.219998,82.384686,39.508085,7
60,1,1.976618,2.056264,1.47945,1.494078,9
60,100,7.796227,5.395779,29.89939,38.249719,3
60,180,14.052518,5.761524,15.16503,8.058458,2
